websites,ip address
google.co.uk,255.255.111.102
thesun.co.uk,255.255.111.103
goo.gl,255.255.111.104
hatena.ne.jp,255.255.111.105
terra.com.br,255.255.111.106
independent.co.uk,255.255.111.107
telegraph.co.uk,255.255.111.108
wsj.com,255.255.111.109
domainmarket.com,255.255.111.110
cdc.gov,255.255.111.111
ytimg.com,255.255.111.112
huffpost.com,255.255.111.113
shutterstock.com,255.255.111.114
dailymail.co.uk,255.255.111.115
forms.gle,255.255.111.116
shopify.com,255.255.111.117
de.wikipedia.org,255.255.111.118
elpais.com,255.255.111.119
researchgate.net,255.255.111.120
indiatimes.com,255.255.111.121
google.it,255.255.111.122
fandom.com,255.255.111.123
t.co,255.255.111.124
wa.me,255.255.111.125
fb.com,255.255.111.126
yandex.ru,255.255.111.127
namecheap.com,255.255.111.128
listmanage.com,255.255.111.129
un.org,255.255.111.130
picasaweb.google.com,255.255.111.131
bloomberg.com,255.255.111.132
news.yahoo.com,255.255.111.133
pixabay.com,255.255.111.134
it.wikipedia.org,255.255.111.135
bit.ly,255.255.111.136
google.fr,255.255.111.137
amazon.de,255.255.111.138
photos.google.com,255.255.111.139
myaccount.google.com,255.255.111.140
visual.com,41.107.214.235
arivom.com,41.107.214.236
fuzz.com,44.169.3.33
javapoint.com,187.239.95.95
geeks.com,76.252.16.236
rrr.com,190.212.237.81
pink.com,6.69.77.153
violet.com,37.142.81.101
samsung.com,83.5.92.51
nokia.com,236.63.84.22
radix.com,167.34.205.204
